title,description,authors,publisher,publishedDate,genres,ratingsCount
"Get Busy, Beaver! (Book and Audio CD) (Paperback)","Violet Hall wordt er doodmoe van dat alles in haar familie altijd in het teken moet staan van de ijshockeycarrière van haar stiefbroer. Maar als ze weer eens wordt meegesleept naar een van zijn wedstrijden ontmoet ze teamcaptain Alex Waters. Hij is niet alleen bloedmooi, maar ook nog eens slim en heel grappig. Het enige nadeel: zijn reputatie. Alex Waters heeft een reputatie als playboy. Tijdens een borrel na de wedstrijd klikt het meteen tussen hem en de prettig gestoorde Violet. Alex is ervan overtuigd: hij wil meer. Maar hoe kan hij Violet ervan overtuigen dat hij alleen op het ijs een player is? Reviews: ‘Meeslepend, sexy, overrompelend, duister, ongelooflijk erotisch en een ongeëvenaard liefdesverhaal. Komt zeker op mijn lijst van favorieten.’ – Alice Clayton",['Helena Hunting'],Singel Uitgeverijen,2021-10-21,['Fiction'],
Ski Tours in the Sierra Nevada: East of the Sierra,"This exclusive travel guide guides the visitor through the most incredible activities to be found in Shanghai: savour the food of world-class chefs in Asia's most romantic two-seater salon; eat at the best holes-in-the-walls and discover local street food haunts; find the best tailors and quality cashmere, satins and brocades by the yard; expert ......",['Marcus Libkind'],Wilderness Press,1986-10-01,['Sports & Recreation'],
The Ultimate Guide to Freshwater Fishing,"Discusses how to catch fish anywhere and anytime, artificial lures, and live bait.","['Dick Sternberg', 'North American Fishing Club']","Publishing Solutions, LLC",2003,['Sports & Recreation'],1.0
"Nursery Knits: 25 Easy-Knit Designs for Clothes, Toys and Decorations","Text, pictures, and patterns describe how to knit clothing items, toys, and decorations for young children.",['Zoe Mellor'],Krause Publications,2005-04-10,['Crafts & Hobbies'],1.0
Starck's Prayer-Book,"Since 1921, the Concordia Edition of Johann Starck's Prayer Book has encouraged thousands of Christians in their personal prayer life. This updated edition provides a comprehensive collection of prayers and meditations that speak to contemporary Christians while preserving the richness and depth of expression of the original.","['Johann Friedrich Starck', 'W. H. T. Dau', 'William Weedon']",,2009-01-01,['Religion'],
A Concise Hopi and English Lexicon,"A Concise Hopi and English Lexicon is a lexical research tool for persons interested in the Hopi language. An effort has been made to include the most frequent forms of basic roots. The work is designed to serve as wide-ranging an audience as possible: Hopi speakers as well as those not fluent in this language, the scholar as well as the general reader. The lexicon treats the Third Mesa dialect and the vocabulary items are limited to items of common usage. The work is presented in two sections: the first and main section is Hopi-English and the second is an English-Hopi index.",['David Leedom Shaul'],John Benjamins Publishing,1985-01-01,['Literary Criticism'],
Healing Life's Hurts: Healing Memories through the Five Stages of Forgiveness,"""Explores the concept of emotional and physical healing as well as exploring the five stages of acceptance of death and dying in light of prayer and religious experience""--Amazon.com.","['Matthew Linn', 'Dennis Linn']",Paulist Press,1978,['Psychology'],1.0
Shadrach Minkins: From Fugitive Slave to Citizen,,['Gary Lee COLLISON'],Harvard University Press,2009-06-30,['History'],
Voodoo in New Orleans,"The author examines ""the true origin of voodooism [and] its practice in America, particularly in New Orleans.""--Cover.",['Robert Tallant'],Pelican Publishing,2003,['History'],3.0
Copper Plate Photogravure: Demystifying the Process,"Copper Plate Photogravure describes in comprehensive detail the technique of traditional copper plate photogravure as would be practiced by visual artists using normally available facilities and materials. Attention is paid to step-by-step guidance through the many stages of the process. A detailed manual of technique, Copper Plate Photogravure also offers the history of the medium and reference to past alternative methods of practice. Copper Plate Photogravure: Demystifying the Process is part of the current revitalization of one of the most satisfyingly beautiful image-making processes. The range of ink color and paper quality possibilities is endless. The potential for handwork and alteration of the copper plate provides yet another realm of expressive variation. The subject matter and the treatment are as variable and broad as photography itself. This book's purpose is to demystify and clarify what is a complex but altogether ""do-able"" photomechanical process using currently available materials. With Copper Plate Photogravure, you will learn how to: · produce a full-scale film positive from a photographic negative · sensitize the gravure tissue to prepare it for exposure to the positive · prepare the plate and develop the gelatin resist prior to etching · prepare the various strengths of etching solutions and etch the plate to achieve a full tonal scale · rework the plate using printmaking tools to correct flaws or to adjust the image for aesthetic reasons · use the appropriate printing inks, ink additives, quality papers, and printshop equipment to produce a high quality print A historical survey and appendices of detailed technical information, charts, and tables are included, as well as a list of suppliers and sources for the materials required, some of which are highly specialized. A comprehensive glossary introduces the non-photographer or non-printmaker to many of the terms particular to those fields and associated with this process.","['David Morrish', 'Marlene MacCallum']",CRC Press,2003-04-03,['Photography'],
THE THEORY OF ECONOMIC GROWTH,,['Joan Robinson'],Springer,1965-01-01,['Business & Economics'],
Letters from New Orleans,"In January of 2000, Rob Walker left a high-powered media job in New York, and with his girlfriend, moved to New Orleans. Letters from New Orleans collects, in one volume, the delightful and unsettling observations Walker sent to friends and fans about his intriguing new life in New Orleans.",['Rob Walker'],Garrett County Press,2010-08-16,['Travel'],2.0
The Gnashing of Teeth,"A young American infantryman finds himself in a Korean troop train hurrying north to the front early in 1953. Thus begins a story of humor, pathos, horror, bitterness, and a chilling look at the class discrimination–whether intended or accidental–that created a warrior class of poor, uneducated men to fight a vicious enemy in a forlorn, inhospitable country. Later, this soldier’s epiphany comes from the lips of one of his beloved comrades, and creates the metaphor for much of the harrowing journey that is The Gnashing of Teeth. You will be witness to his growth, agonizing choices and painful search for redemption where little was forthcoming. Love also finds its way into this novel, beginning and ending in unlikely and sometimes heart-rending circumstances. Whether or not this soldier survives his journey is a growing concern readers will not satisfy until the very last words of this epic. This is a fresh, powerful glimpse of the war many have called forgotten, but which the author convinces us, is well worth not doing so!",['James Charles Raymond'],iUniverse,2002,['Fiction'],
Escape from Slavery: The True Story of My Ten Years in Captivity and My Journey to Freedom in America,"Winner of the Books for a Better Life/Suze Orman First Book Award May 1986: Seven-year-old Francis Bok was selling his mother's eggs and peanuts near his village in southern Sudan when Arab raiders on horseback burst into the quiet marketplace, murdering men and gathering the women and young children into a group. Strapped to horses and donkeys, Francis and others were taken north into lives of slavery under wealthy Muslim farmers. For ten years, Francis lived in a shed near the goats and cattle that were his responsibility. After two failed attempts to flee--each bringing severe beatings and death threats--Francis finally escaped at age seventeen. He persevered through prison and refugee camps for three more years, winning the attention of United Nations officials who granted passage to America. Now a student and an antislavery activist, Francis Bok has made it his life mission to combat world slavery. His is the first voice to speak to an estimated 27 million people held against their will in nearly every nation, including our own. Escape from Slavery is at once a riveting adventure, a story of desperation and triumph, and a window revealing a world that few have survived to tell.",['Francis Bok'],St. Martin's Griffin,2004-10-04,['Biography & Autobiography'],
"Death in Early America; The History and Folklore of Customs and Superstitions of Early Medicine, Funerals, Burials and Mourning","On title page: The history and folklore of customs and superstitions of early medicine, funerals, burials, and mourning.",['Margaret Coffin'],Nashville : Nelson,1976,['Death'],
The Tiger Moth story,"The Tiger Moth is one of the major aviation success stories in the history of British aviation. Developed by Geoffrey de Havilland and flown for the first time on October 26 1931, the biplane became the most important elementary trainer used by Commonwealth forces. More than 1,000 Tiger Moths were delivered before WWII, and subsequently around 4,000 were built in the UK with an extra 2,000 being manufactured in Canada, Australia and New Zealand. Following the end of WWII, pilots could buy and modify a Tiger Moth for recreational use or agricultural crop spraying and use it relatively cheaply. This, combined with its popularity within the aero club movement, provided employment for the Tiger Moths until the late fifties when the more modern closed cockpit aircraft began to force them into retirement. This new paperback edition provides a comprehensive account of the aircraft origins and its development as a trainer of Commonwealth pilots in times of peace and war. It also looks at some of the other roles which this versatile little aeroplane performed such as a crop duster, glider tug, aerial advertiser, bomber, coastal patrol plane and aerial ambulance. Technical narrative and drawings, handling ability and performance as seen through the eyes of the pilots to make The Tiger Moth Story the most comprehensive book of the aircraft.",['A. BRAMSON'],Crecy Publishing,2020-03-25,,
Little Critter: My Trip to the Hospital,"When Little Critter breaks his leg in a soccer game, he has to make his first trip to the hospital. Follow brave Little Critter as he rides in an ambulance, meets the doctor, and gets his first X-ray and his first cast.",['Mercer Mayer'],HarperFestival,2005-11-08,['Juvenile Fiction'],
Reaching for the Light: A Guide for Ritual Abuse Survivors and Their Therapists,"Compassion, sensitive, and non-triggering, Reaching the Light is a step-by-step guide to understanding, effectively dealing with, the impact of ritual and cult abuse.",['Emilie P. Rose'],,1996,['Psychology'],
From Fear to Hope & Back Again,"This book is a series of reflections about the journey of mankind toward their God, whether they believe or not. It is dedicated to the struggle of all who live their lives with love for their neighbor and do the best they can with what they are given. It is further dedicated to those non-believers who live a life of goodness with real concern for their fellow man. We are all on a journey, whether we want to admit it or not. We only have so much time to accomplish what needs to be done. But in the end, only one thing matters. We are to be united with our loving God for all eternity. The bulk of the book concerns the promise that America holds for all people. In no way are the reflections intended to belittle any group that is true and honest in their efforts to help its followers achieve the goal of unity with God. The intention of the author is to provide some insight to the problems we face as a people. The problems are many, but first and foremost we must have the same interests for others that we have for ourselves. All of the problems we face have the same root. Thus far in our civilizations we have had much education and instruction. Much of this knowledge has lead to misunderstanding and has not addressed the root of our problems. The root is that we are not capable to love others as we love ourselves. If we do not address the root of the problem, then we will not be better off tomorrow than we are today or were yesterday. ‘NOTHING WILL CHANGE FOR THE BETTER’.",['Vicktor Barrios'],Author House,2012-01-18,['Religion'],
The Works of George Berkeley (Major works),"The eighteenth century Irish philosopher George Berkeley is best known for his empiricist and idealist philosophy, which argues that reality consists only of minds and their ideas. He is also known for his critique of abstraction, an important premise in his argument for immaterialism. His chief philosophical work, ‘A Treatise Concerning the Principles of Human Knowledge’ (1710), largely seeks to refute the claims made by Berkeley's contemporary John Locke about the nature of human perception. This eBook presents Berkeley’s complete works, with numerous illustrations, rare texts appearing in digital print for the first time, informative introductions and the usual Delphi bonus material. (Version 1) * Beautifully illustrated with images relating to Berkeley’s life and works * Concise introductions to the major works * All of the treatises, with individual contents tables * Features rare works appearing for the first time in digital publishing, including ‘Siris’ and ‘The Theory of Vision’ * Rare translations of Berkeley’s two Latin works: ‘Arithmetica’ and ‘Miscellanea Mathematica’, available for the first time in digital print * Images of how the books were first published, giving your eReader a taste of the original texts * Excellent formatting of the texts * Special criticism section, with essays evaluating Berkeley’s contribution to philosophy * Features two bonus biographies – discover Berkeley’s intriguing life * Scholarly ordering of texts into chronological order and genres Please visit www.delphiclassics.com to browse through our range of exciting titles CONTENTS: The Books Arithmetica (1707) Miscellanea Mathematica (1707) Common-Place Book (1709) An Essay towards a New Theory of Vision (1709) A Treatise Concerning the Principles of Human Knowledge (1710) A Discourse on Passive Obedience (1712) Three Dialogues between Hylas and Philonous (1713) An Essay towards Preventing the Ruin of Great Britain (1721) De Motu (1721) A Proposal for Better Supplying Churches in our Foreign Plantations (1725) A Sermon Preached before the Incorporated Society for the Propagation of the Gospel in Foreign Parts (1732) Alciphron (1732) The Theory of Vision (1733) The Analyst (1734) A Defence of Free-thinking in Mathematics (1735) Reasons for Not Replying to Mr. Walton’s Full Answer (1735) The Querist (1737) A Discourse addressed to Magistrates and Men of Authority (1736) Siris (1744) A Word to the Wise (1749) Farther Thoughts on Tar-Water (1752) Miscellaneous Works The Criticism Extract from ‘A Treatise of Human Nature’ by David Hume Berkeley by Georg Wilhelm Friedrich Hegel Extract from ‘The World as Will and Idea’ by Arthur Schopenhauer Extract from ‘The Principles of Psychology’ by William James The Biographies George Berkeley by A. Campbell Fraser George Berkeley by Robert Adamson Please visit www.delphiclassics.com to browse through our range of exciting titles or to purchase this eBook as a Parts Edition of individual eBooks",['George Berkeley'],Delphi Classics,2019-07-29,['Philosophy'],
"Insight Guide Bali (Bali, 16th ed)","Some travelers love nothing better than to bathe in the sun. Others revel in immersing themselves in history and culture. Then there are those who are born to shop. We all know the type. In fact, we might ourselves be the type. There are some people for whom shopping is not a necessity but a sport. Insight Shopping Guides are a play book for the avid shopper who wants to level the playing field when he or she competes against natives for the best goods and deals the city has to offer. This series is for the discerning consumer who needs a little help navigating around an unfamiliar city. They are ideal shopping companions for travelers wanting lively, informative background material on the best shopping areas and reliable advice on finding the most reliable service.",['Scott Rutherford'],Insight Guides,2002-02,['Travel'],
"Tall, Dark and Daring (Temptation, 897)","When her costume ends up falling around her ankles in an impromptu striptease, Jackie Brady realizes she just sang to the wrong party. Somehow these bachelors weren't expecting ""Happy Birthday""—even if it was a rather revealing rendition. But the steamy look in gorgeous best man Greg De Costa's eyes tells her he's more than pleased she crashed the party. So what harm would there be in accepting bachelor number two's seductive invitation? Greg is spellbound by this sexy singer—even before she loses her costume! He definitely wants to know more about the sensual Jackie. But through a not-so-funny twist of fate they're working together, and he's vowed never to mix business with pleasure. Too bad the memory of her scorching kisses has him forgetting about his good intentions….",['Joanne Rock'],Harlequin,2014-02-15,['Fiction'],
Anthology of American Folk Music,"Released in 1952, The Anthology of American Folk Music was the singular vision of the enigmatic artist, musicologist, and collector Harry Smith (1923–1991). A collection of eighty-four commercial recordings of American vernacular and folk music originally issued between 1927 and 1932, the Anthology featured an eclectic and idiosyncratic mixture of blues and hillbilly songs, ballads old and new, dance music, gospel, and numerous other performances less easy to classify. Where previous collections of folk music, both printed and recorded, had privileged field recordings and oral transmission, Smith purposefully shaped his collection from previously released commercial records, pointedly blurring established racial boundaries in his selection and organisation of performances. Indeed, more than just a ground-breaking collection of old recordings, the Anthology was itself a kind of performance on the part of its creator. Over the six decades of its existence, however, it has continued to exert considerable influence on generations of musicians, artists, and writers. It has been credited with inspiring the North American folk revival—""The Anthology was our bible"", asserted Dave Van Ronk in 1991, ""We all knew every word of every song on it""—and with profoundly influencing Bob Dylan. After its 1997 release on CD by Smithsonian Folkways, it came to be closely associated with the so-called Americana and Alt-Country movements of the late 1990s and early 2000s. Following its sixtieth birthday, and now available as a digital download and rereleased on vinyl, it is once again a prominent icon in numerous musical currents and popular culture more generally. This is the first book devoted to such a vital piece of the large and complex story of American music and its enduring value in American life. Reflecting the intrinsic interdisciplinarity of Smith’s original project, this collection contains a variety of new perspectives on all aspects of the Anthology.","['Ross Hair', 'Thomas Ruys Smith']",Routledge,2016-12-08,['Music'],
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),"The TOEFL (Test of English as a Foreign Language) is now being offered as an internet-based test, or iBT, and the new edition of Barron’s TOEFL manual and accompanying software have been completely revised and updated to reflect the new format. The manual presents seven full-length model TOEFL iBT tests with explanations or examples for all questions, including sample essays and speaking responses. The author also offers general orientation to the new TOEFL iBT, as well as a review of academic skills, which include note taking, paraphrasing, summarizing, and synthesizing. There is also a review of language skills—listening, speaking, reading, and writing. The ten audio CDs—which may be purchased either with the manual or separately—present audio prompts for the Listening, Speaking, and Writing sections of all tests in the book.",['Pamela J. Sharpe'],Barrons Educational Series,2006-07-01,['Study Aids'],
Night With a Stranger (Thorndike Large Print Harlequin Series),"The last two years had been miserable for Lorel, and she was determined to blow her aunt's small legacy on the holiday of a lifetime, before re-assessing her future.",['Joanna Mansell'],Thorndike Press,1990,['Large type books'],
My life in art,"No one has had a greater influence on acting as we know it than Stanislavski. His 'method' - or interpretations of it - has become the central force determining almost every performance we see on stage or screen. In My Life in Art Stanislavski recalls his theatrical career, from his early experiences in Rubinstein's Russian Musical Society to his final triumphs with Chekhov at the Moscow Art Theatre. His vivid accounts of his own most famous productions including 'The Seagul' and 'Uncle Vanya' are interspersed with anecdotes of the famous - of Kommisarjevksy, Tolstoy, Gorky, and of the Moscow visit of Isadora Duncan and Gordon Craig.",['Constantin Stanislavski'],Bloomsbury Publishing,2016-10-20,['Biography & Autobiography'],
Text and Thought: An Integrated Approach to College Reading and Writing,"Text and Thought, 2/e offers a comprehensive approach to developing and strengthening both developmental reading and developmental writing skills. Incorporating the most essential and useful topics in reading and writing, this integrated book includes a wealth of writing exercises along with high-interest professional and textbook readings. Readers are first guided through the application of skills and then given an opportunity to practice these skills independently. The second edition offers strengthened coverage of both reading and writing, providing more exercises, essays and textbook excerpts, and increased coverage of vocabulary and the Internet. Resourceful, engaging, and up-to-date, Text and Thought, 2/e combines the complementary skills of reading and writing with an interactive approach. For those interested in developing their reading and writing skills.","['Judith Resnick', 'Lanny Martin Lester']",Longman Publishing Group,2002-08-01,['Language Arts & Disciplines'],
Vindication,"Mary Wollstonecraft’s visionary treatise, originally published in 1792, was the first book to present women’s rights as an issue of universal human rights. Ideal for coursework and classroom study, this comprehensive edition of Wollstonecraft’s heartfelt feminist argument includes illuminating essays by leading scholars that highlight the author’s significant contributions to modern political philosophy, making a powerful case for her as one of the most substantive political thinkers of the Enlightenment era. No other scholarly work to date has examined as closely both the ideological moorings and the enduring legacy of Wollstonecraft’s groundbreaking and courageous discourse.",['Mary Wollstonecraft'],Yale University Press,2014-08-26,['Philosophy'],4.0
"Godey's Lady's Book and Magazine, 1860","Using a wide array of evidence drawn from poetry, fiction, diaries, letters, and examples of hairwork, Love Entwined traces the widespread popularity of the craft from the late eighteenth to the early twentieth century.",['Helen Sheumaker'],University of Pennsylvania Press,2007-05-29,['Health & Fitness'],
Publishing Secrets: A Comprehensive Guide to Getting Your Book Published in the Lds Market,A Comprehensive Guide to Getting Your Book Published in the LDS Market,['B. J. Rowley'],Lds Storymakers,2004,['Authorship'],
Literature in the Light of the Emblem,The literature of the 16th and 17th centuries was informed by the symbolic thought embodied in the mixed art form of emblems. This study explores the relationship between the emblem and the literature of England and Germany during the period.,['Peter Maurice Daly'],University of Toronto Press,1998-01-01,['Literary Criticism'],
Nonna's Italian Kitchen: Delicious Home-Style Vegan Cuisine (Healthy World Cuisine),"Many Italian dishes are traditionally vegetarian, focusing on grains, legumes, vegetables and fruits, and vegan cook Bryanna Clark Grogan takes readers on a tour of tempting possibilities in this cookbook.",['Bryanna Clark Grogan'],Book Publishing Company (TN),1998-01-01,['Cooking'],1.0
"You Eat What You Are: People, Culture and Food Traditions Revised and expanded second edition","From ingredients and recipes to meals and menus across time and space, Eating Culture is a highly engaging overview that illustrates the important role that anthropology and anthropologists have played in understanding food, as well as the key role that food plays in the study of culture. The new edition, now with a full-color interior, introduces discussions about nomadism, commercializing food, food security, and ethical consumption, including treatment of animals and the long-term environmental and health consequences of meat consumption. ""Grist to the Mill"" sections at the end of each chapter provide further readings and ""Food for Thought"" case studies and exercises help to highlight anthropological methods and approaches. By considering the concept of cuisine and public discourse, this practical guide brings order and insight to our changing relationship with food.",['Gillian Crowther'],University of Toronto Press,2018-05-15,['Social Science'],
Ray Bradbury: The Life of Fiction,"Details each of Bradbury's writings from initial draft through various editions, providing sample pages showing Bradbury's drafts and revisions and side-by-side sections of novels and short stories that compare the way Bradbury's work appeared in different published sources.","['Jonathan R. Eller', 'Ray Bradbury', 'William F. Touponce', 'Kent State University Press']",Kent State University Press,2004,['Biography & Autobiography'],
The island keeper,A young woman runs away to a deserted island hoping to gain independence from her father only to find she is stranded on the island and her search for independence becomes a fight for survival.,['Harry Mazer'],Laurel Leaf,1982,['Juvenile Fiction'],1.0
Treasures of Gilcrease: Selections from the Permanent Collection,"In 1938, Thomas Gilcrease, a native of Tulsa, Oklahoma, opened the first museum devoted to the art of the American West. A true visionary, Gilcrease was ahead of his time in understanding the importance of America’s own heritage. His passion for art and history, his Native American ancestry, and his oil revenues coincided in a rare alignment. His legacy is an astounding collection of paintings, sculptures, artifacts, rare books, and documents. This lavishly produced book, featuring nearly two hundred color reproductions, tells the story of Gilcrease and of the renowned museum that bears his name. Compiled by the museum’s curators, Treasures of Gilcrease exemplifies the beauty and breadth of the museum’s resources. The fine art collection alone boasts more than 10,000 American works, ranging in styles from classical to romantic to impressionist and by such master artists as George Catlin, Charles M. Russell, Thomas Moran, and Frederic Remington. The works by Native artists also span styles ranging from painted hides to twentieth-century flat-style. The artifacts—300,000-plus pieces housed in the galleries and vaults—include ceramics, clothing, pipes, and objects of utility, ceremony, and ornamentation. The archives collection contains some 100,000 manuscripts, books, photographs, maps, imprints, and broadsides. Treasures of Gilcrease offers a vivid and engaging tour through these collections in the company of the experts who know them best.","['Anne Morand', 'Daniel C. Swan', 'Kevin Smith', 'Sarah Erwin']",University of Oklahoma Press,2005-01-01,['Art'],
Sea Runners,"In 1853, four Scandinavian indentured laborers in Russian Alaska steal a canoe and begin to paddle south toward the mouth of the Columbia River, twelve thousand miles away. Reprint. 15,000 first printing.",['Ivan Doig'],Mariner Books,1982,['Fiction'],6.0
Frederick Douglass,"\The pre-eminent American slave narrative. Published in 1845, this autobiography powerfully details the life of the internationally famous abolitionist Frederick Douglass from his birth into slavery in 1818 to his escape to the North in 1838 - how he endured the daily physical and spiritual brutalities of his owners and drivers, how he learned to read and write, and how he grew into a man who could only live free or die. In his introduction, Houston A. Baker, Jr., discusses the slave narrative as a distinct American literary genre and points out its social, political, historical, and literary significance, past and present. Enriched eBook Features Editors Houston Baker and Derrick R. Spires provides the following specially commissioned features for this Enriched eBook Classic: • Chronology • Nineteenth-Century Reviews and Responses • Further Reading • Day in a Slave’s Life • Sorrow Songs and Sheet Music • “The Church and Prejudice” (1841) • Introduction to “Oration,” or “The Meaning of the Fourth of July for the Negro” • “The Meaning of the Fourth of July for the Negro” (1852) • Introduction to “The Heroic Slave” • “The Heroic Slave” (1853) • “My Escape from Slavery” (1881) • Douglass Sites to Visit in the United States • Portraits and Illustrations • Enriched eBook Notes The enriched eBook format invites readers to go beyond the pages of these beloved works and gain more insight into the life and times of an author and the period in which the book was originally written for a rich reading experience.",['Frederick Douglass'],Penguin,2009-02-10,['Biography & Autobiography'],1.0
"Mystery of the witch, who wouldn't",The strange predictions of a witch help a twelve-year-old boy and his friends expose the activities of a local group of criminals.,['Kin Platt'],,1969,['Detective and mystery stories'],
Encyclopedia of Animal Science,"New entries on topics such as: Adaptation and Stress: Neuroendocrine, Physiological, and Behavioral Responses /Animal Source Foods (ASFs): Listeria monocytogenes / Ethanol By-Products: Beef /Farm Animal Welfare: Philosophical Aspects / Feed Supplements: Antibiotics / Functional Food Components: Ruminant-Derived Foods / Genomic Selection of Phenotype / Horses: Breeds, Breeding, and Genetics / Metabolic Modifiers / Molecular Biology: Animal / Proteins: Oxidation, Turnover, and Proteomics / Recombinant Bovine Somatotropin: Environmental Impac","['Charlotte Kirk Baer', 'Duane E. Ullrey', 'Wilson G. Pond']",,2010,['Animal industry'],
Nirvana and the Sound of Seattle,"Nirvana brought mass media attention to Seattle and the other grunge bands that comprise the city's alternative rock scene. This book looks at the band's decline and fall, including the suicide of lead singer Kurt Cobain.",['Brad Morrell'],Omnibus Press& Schirmer Trade Books,1996,['Biography & Autobiography'],
Busted!: Drug War Survival Skills,"Busted! is a funny, smart, subversive worst-case scenario guide for casual drug users and their tolerant friends.It's the Bible on how not to get busted and what to do if you are. Using celebrity busts, outrageous everyman busts, and the author's professional experience, Busted! is everything you need to know about the criminal justice system, Drug War style, before it's too late. Like a Law & Order episode, the book takes the reader through a typical small-time drug possession case from committing the crime (the buy/recommending a dealer), to handling police encounters like a pro, to getting busted, to spending a night in jail, to fighting your drug bust, to pleading guilty, through trials and appeals, and, finally, punishment - with irreverent humor and expert advice all the way to the bitter end. Busted! also includes drug possession law for the house party, the rave, your roommate's stash; search and seizure on the street, in your ride, in your apartment, and up your ass. Drug War Driving Lessons covers DUI's and drugged driving; also learn how to make your phone call from jail count, how to ace your bail hearing, and protect your Internet privacy. The Dope Law Index includes possession law for marijuana, ecstasy, cocaine and methamphetamine for all 50 states. BUSTED! helps the casual drug user to know his rights, walk the thin grey line between legal and illegal and ultimately stay out of jail.",['M. Chris Fabricant'],Harper Collins,2009-03-17,['Law'],
Partial Seizure Disorders: Help for Patients and Families,"""Partial Seizures"" is a thorough guide for families living with this common form of epilepsy. It can help patients and families secure an accurate, complete diagnosis, gain an understanding of medications and their side effects, and learn coping skills and other adjuncts to medication.",['Mitzi Waltz'],Patient-Centered Guides,2001,['Health & Fitness'],
Helter Skelter,"THE BEST-SELLING TRUE CRIME BOOK IN HISTORY ______________________ The shocking true story of the Manson murders, revealed in this harrowing, often terrifying book. Helter Skelter won a Mystery Writers of America Edgar Award in 1975 for Best Fact Crime Book. On August 9th 1969, seven people were found shot, stabbed and bludgeoned to death in Los Angeles. America watched in fascinated horror as the killers were tried and convicted. But the real questions went unanswered. How did Manson make his 'family' kill for him? What made these young men and women kill again and again with no trace of remorse? Did the murders continue even after Manson's imprisonment? No matter how much you think you know about this case, this book will still shock you. For decades, this has been the definitive account of the Manson murders.","['Vincent Bugliosi', 'Curt Gentry']",Random House,2014-07-31,['True Crime'],80.0
"RED SEX , white drugs , Blue Rock n Roll","Sex. Drugs. Rock and Roll. That is what some Americans are made of. Greg, a struggling writer, never-endingly searches for the inspiration and motivation needed to finish his work. Barriers and distractions abound including encounters with his girlfriend's old classmate, Kelly, a woman who embodies the wild free spirit of the American counter cultures. Neither sex, booze, music nor support from friends helps Greg to tune in to his muse. Greg finally ends at a reknown hotel in Chelsea, New York, where many famous artists, musicians and writers stayed. A slice of underbelly Americana with hipster slang, admidst a backdrop of counter-cultures, and contains strong language and adult themes. It is a soul-searching story about finding the unexpected and looking for what is already there. Illustrated",['Gerard Kuc'],Lulu.com,2005-10,['Fiction'],
The Temple of the Golden Pavilion,"Because of the boyhood trauma of seeing his mother make love to another man in the presence of his dying father, Mizoguchi becomes a hopeless stutterer. Taunted by his schoolmates, he feels utterly alone untill he becomes an acolyte at a famous temple in Kyoto, where he develops an all-consuming obsession with the temple's beauty. This powerful story of dedication and sacrifice brings together Mishima's preoccupations with violence, desire, religion and national history to dazzling effect.",['Yukio Mishima'],Random House,2010-02-23,['Fiction'],12.0
Murder and Underwear: working with the homeless in Chicago,"""Could I please use some of this lotion? Oh, by the way: I left my husband. He abused me. He hit me, threw me down the stairs. A little while ago he tried to set me on fire. That's when I had had enough. That is when I left him. Thanks for listening. Goodnight."" 5 months in Chicago 5 months of working with the homeless 5 months of trying to get a heart of stone",['A. Redhed'],iUniverse,2005-02,['Biography & Autobiography'],
The Missing Planets,"A nowaday science fiction, in the Jules Verne style, on science, unusual characters, ecological, social, and spiritual concerns.",['Richard Trigaux'],,2001-05-01,['Fiction'],
Fierce Eden,"Dreading and detesting the touch of men after a brutal marriage, lovely widow Elise Laffont is forced by the Natchez uprising into the arms of half-French, half-Indian Reynaud Chevalier, who awakens her to passion and love with his patience and gentleness",['Jennifer Blake'],Fawcett,1990-09-30,['Fiction'],1.0
"Elizabeth Sinkler Coxe's Tales from the Grand Tour, 1890-1910 (Women's Diaries and Letters of the South)","The international adventures of a southern widow turned patron of historical discovery, Elizabeth Sinkler Coxe's Tales from the Grand Tour, 1890–1910 is a travelogue of captivating episodes in exotic lands as experienced by an intrepid American aristocrat and her son at the dawn of the twentieth century. A member of the prominent Sinkler family of Charleston and Philadelphia, Elizabeth ""Lizzie"" Sinkler married into Philadelphia's wealthy Coxe family in 1870. Widowed just three years later, she dedicated herself to a lifelong pursuit of philanthropy, intellectual endeavor, and extensive travel. Heeding the call of their dauntless adventuresome spirits, Lizzie and her son, Eckley, set sail in 1890 on a series of odysseys that took them from the United States to Cairo, Luxor, Khartoum, Algiers, Istanbul, Naples, Vichy, and Athens. The Coxes not only visited the sites and monuments of ancient civilizations but also participated in digs, funded entire expeditions, and ultimately subsidized the creation of the Coxe Wing of Ancient History at the University of Pennsylvania Museum. A prolific correspondent, Lizzie conscientiously recorded her adventures abroad in lively prose that captures the surreal exhilarations and harsh realities of traversing the known and barely known worlds of Africa and the Middle East. She journeyed through foreign lands with various nieces in tow to expose them to the educational and social benefits of the Grand Tour. Her letters and recollections are complemented by numerous photographs and several original watercolor paintings.",['Anne Sinkler Whaley LeClercq'],Univ of South Carolina Press,2012-11-26,['Travel'],
One very hot day,This novel about the fear and heat that plague a group of American soldiers awaiting an enemy ambush offers a realistic portrait of the conflict in Vietnam.,['David Halberstam'],Grand Central Pub,1984,['Fiction'],2.0
